,city_id,city_name,cloudiness_pct,country_cd,date,humidity,city_lat,city_lng,max_temp,wind_speed,date_time
101,6089245,Norman Wells,90,CA,1621361522,49,65.282,-126.8329,46.44,11.5,2021-05-18 18:12:02
102,1806041,Jiaocheng,66,CN,1621361523,99,24.6774,116.1389,73.17,0.78,2021-05-18 18:12:03
103,286621,Salalah,0,OM,1621361523,79,17.0151,54.0924,86.09,6.91,2021-05-18 18:12:03
104,3466165,Cidreira,8,BR,1621361523,52,-30.1811,-50.2056,63.52,11.63,2021-05-18 18:12:03
105,5335650,Ceres,1,US,1621361524,40,37.5949,-120.9577,80.67,11.5,2021-05-18 18:12:04
106,1529484,Kumul,21,CN,1621361524,28,42.8,93.45,68.25,5.79,2021-05-18 18:12:04
107,2171099,Codrington,92,AU,1621361525,85,-38.2667,141.9667,46.71,9.22,2021-05-18 18:12:05
108,1255146,Tālbahat,91,IN,1621361525,81,25.05,78.4333,78.91,10.0,2021-05-18 18:12:05
109,1504382,Kargasok,52,RU,1621361525,48,59.0556,80.8572,41.95,11.63,2021-05-18 18:12:05
110,528242,Mayskiy,27,RU,1621361526,80,47.6931,40.1025,62.01,5.03,2021-05-18 18:12:06
111,5554072,Juneau,20,US,1621361526,81,58.3019,-134.4197,52.84,3.49,2021-05-18 18:12:06
112,6165406,Thompson,75,CA,1621361527,81,55.7435,-97.8558,41.16,16.11,2021-05-18 18:12:07
113,1650434,Bambanglipuro,84,ID,1621361527,86,-7.95,110.2833,76.87,4.65,2021-05-18 18:12:07
114,5919850,Chapais,100,CA,1621361528,28,49.7834,-74.8492,55.18,6.78,2021-05-18 18:12:08
115,3653967,Muisne,100,EC,1621361528,84,0.6,-80.0333,84.31,7.78,2021-05-18 18:12:08
116,964420,Port Elizabeth,0,ZA,1621361528,87,-33.918,25.5701,59.09,4.61,2021-05-18 18:12:08
117,5870133,Nome,75,US,1621361529,86,64.5011,-165.4064,33.87,0.0,2021-05-18 18:12:09
118,2986626,Plouzané,90,FR,1621361529,82,48.3833,-4.6167,55.49,19.28,2021-05-18 18:12:09
119,3361934,Saldanha,54,ZA,1621361530,71,-33.0117,17.9442,55.45,7.29,2021-05-18 18:12:10
120,2152659,Port Macquarie,7,AU,1621361465,88,-31.4333,152.9167,49.37,4.79,2021-05-18 18:11:05
121,1649150,Bengkulu,100,ID,1621361530,87,-3.8004,102.2655,76.89,3.71,2021-05-18 18:12:10
122,3451138,Rio Grande,3,BR,1621361531,54,-32.035,-52.0986,64.51,9.31,2021-05-18 18:12:11
123,3353383,Rundu,1,NA,1621361531,29,-17.9333,19.7667,66.43,5.82,2021-05-18 18:12:11
124,2208248,Kaitangata,100,NZ,1621361531,90,-46.2817,169.8464,49.93,14.85,2021-05-18 18:12:11
125,7671223,Kloulklubed,100,PW,1621361532,81,7.0419,134.2556,77.5,11.83,2021-05-18 18:12:12
126,5962442,Goderich,0,CA,1621361532,49,43.7501,-81.7165,76.21,8.05,2021-05-18 18:12:12
127,6255012,Flinders,0,AU,1621361533,84,-34.5833,150.8552,48.2,1.01,2021-05-18 18:12:13
128,3899539,Antofagasta,36,CL,1621361533,54,-23.65,-70.4,71.22,7.58,2021-05-18 18:12:13
129,2163355,Hobart,73,AU,1621361322,78,-42.8794,147.3294,52.27,7.4,2021-05-18 18:08:42
130,2738381,Lata,99,PT,1621361533,65,40.1629,-8.3327,70.03,9.64,2021-05-18 18:12:13
131,1687894,Santa Rosa,96,PH,1621361534,81,14.3122,121.1114,86.11,9.71,2021-05-18 18:12:14
132,6111867,Port Hawkesbury,90,CA,1621361534,99,45.6169,-61.3485,59.92,12.66,2021-05-18 18:12:14
133,5848280,Kapaa,75,US,1621361535,69,22.0752,-159.319,77.32,4.0,2021-05-18 18:12:15
134,3353811,Otjiwarongo,0,NA,1621361535,28,-20.4637,16.6477,62.96,8.12,2021-05-18 18:12:15
135,537893,Kuzino,51,RU,1621361535,77,57.0224,59.4412,53.37,7.09,2021-05-18 18:12:15
136,3408424,Ipixuna,92,BR,1621361536,65,-1.7625,-48.8043,84.15,5.01,2021-05-18 18:12:16
137,2112802,Hasaki,100,JP,1621361536,94,35.7333,140.8333,61.29,16.24,2021-05-18 18:12:16
